:START_ID(Coach-ID),:END_ID(Country-ID),:TYPE
1959405,USA,REPRESENTS
1959412,USA,REPRESENTS
1959432,USA,REPRESENTS
1960844,CAN,REPRESENTS
1960845,CAN,REPRESENTS
1960848,CAN,REPRESENTS
1960860,CAN,REPRESENTS
1961375,CIV,REPRESENTS
1961586,FIJ,REPRESENTS
1961712,TGA,REPRESENTS
1961720,TGA,REPRESENTS
1961741,TGA,REPRESENTS
1961751,TGA,REPRESENTS
1961912,FIJ,REPRESENTS
1962265,IRL,REPRESENTS
1962452,IRL,REPRESENTS
1962481,HKG,REPRESENTS
1963019,EGY,REPRESENTS
1963171,ESP,REPRESENTS
1963174,ESP,REPRESENTS
1963175,ESP,REPRESENTS
1963555,BEL,REPRESENTS
1963556,BEL,REPRESENTS
1963627,JPN,REPRESENTS
1963628,JPN,REPRESENTS
1964423,BRA,REPRESENTS
1964448,BRA,REPRESENTS
1964453,BRA,REPRESENTS
1964473,BRA,REPRESENTS
1964481,BRA,REPRESENTS
1964485,BRA,REPRESENTS
1964492,BRA,REPRESENTS
1965161,RSA,REPRESENTS
1965168,RSA,REPRESENTS
1965644,PAN,REPRESENTS
1967242,NZL,REPRESENTS
1967254,CAN,REPRESENTS
1967256,CAN,REPRESENTS
1967258,CAN,REPRESENTS
1967262,CAN,REPRESENTS
1967313,CAN,REPRESENTS
1967315,CAN,REPRESENTS
1967332,SAM,REPRESENTS
1967468,CAN,REPRESENTS
1967471,CAN,REPRESENTS
1967472,CAN,REPRESENTS
1967642,BRA,REPRESENTS
1967672,BRA,REPRESENTS
1967683,BRA,REPRESENTS
1968210,SAM,REPRESENTS
1968247,AUS,REPRESENTS
1968453,GRE,REPRESENTS
1968484,GRE,REPRESENTS
1968489,GRE,REPRESENTS
1968491,GRE,REPRESENTS
1968492,GRE,REPRESENTS
1968495,GRE,REPRESENTS
1968531,GRE,REPRESENTS
1968540,GRE,REPRESENTS
1968567,GRE,REPRESENTS
1968759,EOR,REPRESENTS
1968802,AUS,REPRESENTS
1968822,AUS,REPRESENTS
1968838,AUS,REPRESENTS
1968868,NED,REPRESENTS
1968871,NED,REPRESENTS
