:START_ID(Coach-ID),:END_ID(Team-ID),:TYPE
1924246,FENWTEAMFOILITA01,COACHES
1924252,FENMTEAMEPEEITA01,COACHES
1924252,FENWTEAMEPEEITA01,COACHES
1924252,FENWTEAMSABRITA01,COACHES
1924889,RU7MTEAM7---URU01,COACHES
1924891,RU7MTEAM7---URU01,COACHES
1924892,RU7MTEAM7---URU01,COACHES
1925017,FENMTEAMEPEEVEN01,COACHES
1925047,FENMTEAMEPEEVEN01,COACHES
1925565,WPOMTEAM7---ITA01,COACHES
1925566,WPOWTEAM7---ITA01,COACHES
1925568,SWAWTEAM2---ITA01,COACHES
1925568,SWAWTEAM8---ITA01,COACHES
1925590,WPOMTEAM7---ITA01,COACHES
1925591,WPOMTEAM7---ITA01,COACHES
1925602,SWAWTEAM2---ITA01,COACHES
1925602,SWAWTEAM8---ITA01,COACHES
1925620,WPOWTEAM7---ITA01,COACHES
1926526,HOCMTEAM11--NZL01,COACHES
1926527,HOCMTEAM11--NZL01,COACHES
1926529,HOCMTEAM11--NZL01,COACHES
1926530,HOCMTEAM11--NZL01,COACHES
1926532,HOCMTEAM11--NZL01,COACHES
1926534,HOCMTEAM11--NZL01,COACHES
1926597,RU7WTEAM7---NZL01,COACHES
1926599,RU7MTEAM7---NZL01,COACHES
1926601,RU7MTEAM7---NZL01,COACHES
1926602,RU7WTEAM7---NZL01,COACHES
1926603,RU7MTEAM7---NZL01,COACHES
1926604,RU7WTEAM7---NZL01,COACHES
1926605,RU7MTEAM7---NZL01,COACHES
1926606,RU7WTEAM7---NZL01,COACHES
1926607,RU7WTEAM7---NZL01,COACHES
1926608,RU7MTEAM7---NZL01,COACHES
1926610,RU7WTEAM7---NZL01,COACHES
1926612,RU7MTEAM7---NZL01,COACHES
1926615,RU7WTEAM7---NZL01,COACHES
1926616,RU7MTEAM7---NZL01,COACHES
1926933,HOCWTEAM11--CHN01,COACHES
1926934,HOCWTEAM11--CHN01,COACHES
1926943,HOCWTEAM11--CHN01,COACHES
1927174,HOCWTEAM11--CHN01,COACHES
1927175,HOCWTEAM11--CHN01,COACHES
1927222,RU7WTEAM7---CHN01,COACHES
1927223,RU7WTEAM7---CHN01,COACHES
1927225,RU7WTEAM7---CHN01,COACHES
1927226,RU7WTEAM7---CHN01,COACHES
1927270,WPOWTEAM7---CHN01,COACHES
1927271,WPOWTEAM7---CHN01,COACHES
1927274,WPOWTEAM7---CHN01,COACHES
1927337,FENMTEAMSABRKOR01,COACHES
1927337,FENWTEAMEPEEKOR01,COACHES
1927337,FENWTEAMSABRKOR01,COACHES
1927348,FENMTEAMSABRKOR01,COACHES
1927348,FENWTEAMEPEEKOR01,COACHES
1927348,FENWTEAMSABRKOR01,COACHES
1927350,FENWTEAMEPEEKOR01,COACHES
1927352,FENWTEAMSABRKOR01,COACHES
1927360,FENMTEAMSABRKOR01,COACHES
1927873,HBLWTEAM7---KOR01,COACHES
1927879,HBLWTEAM7---KOR01,COACHES
1927880,HBLWTEAM7---KOR01,COACHES
1928154,FBLWTEAM11--ZAM01,COACHES
1928465,VVOWTEAM6---POL01,COACHES
1928466,VVOWTEAM6---POL01,COACHES
